scenario,kappa_true,n_valid,mean_hat,scatter,mean_sigma,sigma_over_scatter,pull_mean,pull_std,pull_std_lo,pull_std_hi,recovery,recovery_lo,recovery_hi,coverage_68,coverage_90,coverage_95
marginalized_default,0.01,12,0.002349,0.007543,0.021621,2.87,-0.3610,0.3424,0.1869,0.4474,0.2349,-0.1780,0.6394,0.9167,1.0000,1.0000
marginalized_default,0.02,12,0.005240,0.007531,0.021593,2.87,-0.6964,0.3588,0.2008,0.4673,0.2620,0.0547,0.4604,0.7500,1.0000,1.0000
marginalized_default,0.03,12,0.008110,0.007566,0.021563,2.85,-1.0340,0.3865,0.2183,0.4953,0.2703,0.1350,0.4052,0.5000,0.9167,1.0000
marginalized_default,0.04,12,0.010936,0.007662,0.021538,2.81,-1.3744,0.4242,0.2376,0.5399,0.2734,0.1658,0.3753,0.0833,0.7500,0.8333
marginalized_default,0.05,12,0.013704,0.007821,0.021519,2.75,-1.7177,0.4693,0.2587,0.6112,0.2741,0.1864,0.3551,0.0833,0.5833,0.6667
marginalized_tight,0.01,12,0.003500,0.006636,0.020606,3.11,-0.3148,0.3151,0.1436,0.4333,0.3500,-0.0309,0.6872,0.9167,1.0000,1.0000
marginalized_tight,0.02,12,0.006212,0.006722,0.020604,3.07,-0.6741,0.3239,0.1483,0.4381,0.3106,0.1138,0.4807,0.8333,1.0000,1.0000
marginalized_tight,0.03,12,0.008899,0.006870,0.020604,3.00,-1.0347,0.3459,0.1851,0.4484,0.2966,0.1652,0.4112,0.5000,0.9167,1.0000
marginalized_tight,0.04,12,0.011577,0.007058,0.020604,2.92,-1.3959,0.3782,0.2198,0.4663,0.2894,0.1851,0.3774,0.0833,0.7500,0.9167
marginalized_tight,0.05,12,0.014247,0.007271,0.020602,2.83,-1.7576,0.4181,0.2560,0.4978,0.2849,0.2000,0.3567,0.0000,0.5000,0.6667
marginalized_wide,0.01,12,0.002153,0.007881,0.023168,2.94,-0.3534,0.3467,0.2027,0.4363,0.2153,-0.2093,0.6565,1.0000,1.0000,1.0000
marginalized_wide,0.02,12,0.004984,0.008055,0.023155,2.87,-0.6689,0.3790,0.2128,0.4871,0.2492,0.0408,0.4718,0.8333,1.0000,1.0000
marginalized_wide,0.03,12,0.007843,0.008241,0.023134,2.81,-0.9839,0.4176,0.2247,0.5464,0.2614,0.1187,0.4127,0.5000,0.9167,1.0000
marginalized_wide,0.04,12,0.010690,0.008446,0.023112,2.74,-1.2999,0.4608,0.2467,0.6107,0.2672,0.1541,0.3840,0.2500,0.8333,0.9167
marginalized_wide,0.05,12,0.013517,0.008660,0.023094,2.67,-1.6170,0.5068,0.2644,0.6852,0.2703,0.1779,0.3628,0.0833,0.5833,0.8333
fixed_tstart_8M,0.01,12,0.002587,0.029733,0.020582,0.69,-0.3574,1.4194,0.9830,1.6432,0.2587,-1.3591,1.8944,0.4167,0.5833,0.7500
fixed_tstart_8M,0.02,12,0.005443,0.029913,0.020600,0.69,-0.7139,1.4341,0.9858,1.6757,0.2721,-0.5310,1.0939,0.5000,0.6667,0.6667
fixed_tstart_8M,0.03,12,0.008278,0.030097,0.020613,0.68,-1.0708,1.4527,0.9944,1.7097,0.2759,-0.2614,0.8044,0.4167,0.6667,0.6667
fixed_tstart_8M,0.04,12,0.011073,0.030284,0.020624,0.68,-1.4292,1.4748,0.9988,1.7499,0.2768,-0.1296,0.6867,0.4167,0.5000,0.6667
fixed_tstart_8M,0.05,12,0.013839,0.030471,0.020630,0.68,-1.7890,1.4999,1.0088,1.7840,0.2768,-0.0556,0.6097,0.3333,0.5000,0.5833
fixed_tstart_10M,0.01,12,0.005806,0.027044,0.019708,0.73,-0.0998,1.3089,0.8743,1.5451,0.5806,-0.8779,2.0401,0.3333,0.7500,1.0000
fixed_tstart_10M,0.02,12,0.008317,0.027287,0.019697,0.72,-0.4960,1.2906,0.8474,1.5254,0.4158,-0.3321,1.1581,0.4167,0.7500,0.9167
fixed_tstart_10M,0.03,12,0.010821,0.027527,0.019681,0.71,-0.8928,1.2787,0.8480,1.4962,0.3607,-0.1321,0.8460,0.2500,0.5833,0.7500
fixed_tstart_10M,0.04,12,0.013316,0.027763,0.019660,0.71,-1.2907,1.2730,0.8411,1.4907,0.3329,-0.0456,0.7083,0.4167,0.5000,0.5833
fixed_tstart_10M,0.05,12,0.015798,0.027991,0.019632,0.70,-1.6901,1.2733,0.8443,1.4787,0.3160,0.0146,0.6141,0.3333,0.4167,0.4167
fixed_tstart_12M,0.01,12,0.002717,0.023279,0.021101,0.91,-0.3783,1.0963,0.5391,1.3978,0.2717,-0.9309,1.5717,0.5000,0.9167,0.9167
fixed_tstart_12M,0.02,12,0.004958,0.023265,0.021082,0.91,-0.7653,1.1211,0.5733,1.4049,0.2479,-0.3660,0.9032,0.2500,0.8333,0.9167
fixed_tstart_12M,0.03,12,0.007197,0.023263,0.021058,0.91,-1.1534,1.1578,0.6210,1.4317,0.2399,-0.1577,0.6731,0.4167,0.5000,0.8333
fixed_tstart_12M,0.04,12,0.009431,0.023272,0.021030,0.90,-1.5432,1.2056,0.7073,1.4929,0.2358,-0.0653,0.5614,0.2500,0.4167,0.5000
fixed_tstart_12M,0.05,12,0.011657,0.023292,0.020998,0.90,-1.9349,1.2634,0.7625,1.5500,0.2331,-0.0093,0.4936,0.2500,0.4167,0.4167
